session,trial,person_001,person_002,person_003,person_004,person_005,person_006,person_007,person_008,person_009,person_010,person_011,person_012,person_013,person_014,person_015,person_016,person_017,person_018,person_019
003,6,0.5045045045045045,0.5045045045045045,0.5045045045045045,0.5045045045045045,0.7117117117117117,0.7117117117117117,0.7837837837837838,0.8288288288288288,0.7837837837837838,0.7837837837837838,0.7117117117117117,0.7207207207207207,0.8288288288288288,0.7837837837837838,0.7207207207207207,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838
003,7,0.4954954954954955,0.4954954954954955,0.7837837837837838,0.8288288288288288,0.7837837837837838,0.8288288288288288,0.5405405405405406,0.7207207207207207,0.8288288288288288,0.8288288288288288,0.8648648648648649,0.8648648648648649,0.8288288288288288,0.8288288288288288,0.8648648648648649,0.8648648648648649,0.8288288288288288,0.8648648648648649,0.8648648648648649
003,8,0.4954954954954955,0.7207207207207207,0.6576576576576577,0.7837837837837838,0.8198198198198198,0.6486486486486487,0.8018018018018018,0.7387387387387387,0.7657657657657657,0.7657657657657657,0.8558558558558559,0.7837837837837838,0.7387387387387387,0.7477477477477478,0.8378378378378378,0.8558558558558559,0.8108108108108109,0.8018018018018018,0.8378378378378378
003,9,0.4954954954954955,0.4954954954954955,0.5135135135135135,0.5495495495495496,0.7207207207207207,0.5405405405405406,0.6936936936936937,0.7387387387387387,0.8558558558558559,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8558558558558559,0.8558558558558559,0.8468468468468469,0.8828828828828829,0.8198198198198198,0.8198198198198198
003,10,0.4954954954954955,0.4954954954954955,0.8648648648648649,0.7297297297297297,0.7207207207207207,0.7297297297297297,0.6936936936936937,0.7027027027027027,0.7117117117117117,0.7567567567567568,0.7657657657657657,0.8918918918918919,0.8828828828828829,0.9099099099099099,0.8828828828828829,0.8918918918918919,0.8828828828828829,0.8918918918918919,0.8828828828828829
003,mean,0.49909909909909905,0.5261261261261261,0.6153153153153152,0.6522522522522523,0.7315315315315315,0.7,0.7360360360360361,0.7801801801801802,0.8009009009009007,0.8171171171171171,0.8117117117117116,0.8333333333333334,0.8117117117117119,0.8243243243243242,0.8342342342342342,0.8243243243243243,0.8279279279279279,0.8324324324324323,0.8279279279279279
003,std_dev,0.004413495032041744,0.0661042750552942,0.13043165958933683,0.12000595175024659,0.08096087185103054,0.12180833182559624,0.09284525762517495,0.051469754439948466,0.05382081813060848,0.048018947644095256,0.058724643199035205,0.0568710418093212,0.04689013938620938,0.04971307986061765,0.05146975443994849,0.06335197654684384,0.06662404286300655,0.058273735599265686,0.0724595440273798
004,1,0.47413793103448276,0.7327586206896551,0.8275862068965517,0.603448275862069,0.7327586206896551,0.7844827586206896,0.7931034482758621,0.9137931034482759,0.7327586206896551,0.7931034482758621,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.6379310344827587,0.7758620689655172,0.8275862068965517,0.7672413793103449,0.7672413793103449,0.7672413793103449
004,2,0.47413793103448276,0.7327586206896551,0.5172413793103449,0.853448275862069,0.853448275862069,0.853448275862069,0.8017241379310345,0.853448275862069,0.7931034482758621,0.9137931034482759,0.8706896551724138,0.9137931034482759,0.9137931034482759,0.7931034482758621,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.7931034482758621,0.9137931034482759
004,3,0.5258620689655172,0.6810344827586207,0.6810344827586207,0.603448275862069,0.7844827586206896,0.8103448275862069,0.8103448275862069,0.7327586206896551,0.7068965517241379,0.8103448275862069,0.8103448275862069,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7413793103448276,0.8189655172413793,0.7844827586206896,0.8189655172413793,0.8103448275862069
